User,Function,Return value,Execution (us),Reset (us)
python,bench_spectral_norm,0,520109,6480
python,bench_spectral_norm,0,519385,6584
python,bench_spectral_norm,0,518151,6628
python,bench_spectral_norm,0,522538,6768
python,bench_spectral_norm,0,518458,6690
python,bench_spectral_norm,0,518206,6582
python,bench_spectral_norm,0,529336,8576
python,bench_spectral_norm,0,525382,6426
python,bench_spectral_norm,0,522924,6537
python,bench_telco,0,143518,2527
python,bench_telco,0,143902,2536
python,bench_telco,0,143902,2486
python,bench_telco,0,139939,2535
python,bench_telco,0,143108,2465
python,bench_telco,0,144401,2489
python,bench_telco,0,143793,2520
python,bench_telco,0,142495,2473
python,bench_telco,0,144518,2502
python,bench_telco,0,141677,2596
python,bench_unpack_sequence,0,94597,6455
python,bench_unpack_sequence,0,95991,6661
python,bench_unpack_sequence,0,94632,6433
python,bench_unpack_sequence,0,96218,6563
python,bench_unpack_sequence,0,97272,6501
python,bench_unpack_sequence,0,94001,6424
python,bench_unpack_sequence,0,95433,6538
python,bench_unpack_sequence,0,95506,6506
python,bench_unpack_sequence,0,95732,6359
python,bench_unpack_sequence,0,94556,6513
python,bench_version,0,26937,2252
python,bench_version,0,26454,2274
python,bench_version,0,27444,2242
python,bench_version,0,24858,2248
python,bench_version,0,26395,2248
python,bench_version,0,26631,2295
python,bench_version,0,24718,2227
python,bench_version,0,27625,2196
python,bench_version,0,26476,2272
python,bench_version,0,27801,2202
