User,Function,Return value,Execution (us),Reset (us)
python,bench_mdp,0,7.96516e+06,4629.17
python,bench_mdp,0,7.9718e+06,4550.77
python,bench_mdp,0,7.9453e+06,6098.37
python,bench_mdp,0,7.96695e+06,4562.9
python,bench_mdp,0,7.94213e+06,4612.47
python,bench_mdp,0,7.95015e+06,6262.76
python,bench_mdp,0,7.93956e+06,4406.4
python,bench_nbody,0,3.91463e+06,3879.66
python,bench_nbody,0,3.92438e+06,3994.3
python,bench_nbody,0,3.90503e+06,3541.19
python,bench_nbody,0,3.92239e+06,3947.63
python,bench_nbody,0,3.92334e+06,5743.07
python,bench_nbody,0,3.91301e+06,3916.28
python,bench_nbody,0,3.90524e+06,3481.15
python,bench_nbody,0,3.91453e+06,3908.25
python,bench_nbody,0,3.91565e+06,3921.26
python,bench_nbody,0,3.91309e+06,3920.51
python,bench_pickle,0,152319,2049.4
python,bench_pickle,0,151885,1931.81
python,bench_pickle,0,152232,1959.11
python,bench_pickle,0,151819,1954.27
python,bench_pickle,0,151903,2027.2
python,bench_pickle,0,151880,1939.46
python,bench_pickle,0,151839,2027.27
python,bench_pickle,0,151472,1940.05
python,bench_pickle,0,151306,2011.81
python,bench_pickle,0,151694,1989.34
python,bench_pidigits,0,5.95596e+06,3949.12
python,bench_pidigits,0,5.96209e+06,5584.46
python,bench_pidigits,0,5.96297e+06,4184.93
python,bench_pidigits,0,5.95808e+06,3898.55
python,bench_pidigits,0,5.96984e+06,3878.93
python,bench_pidigits,0,5.95519e+06,4023.49
python,bench_pidigits,0,5.96228e+06,4018.25
python,bench_pidigits,0,5.95466e+06,3899.33
python,bench_pidigits,0,5.95058e+06,4038.08
python,bench_pidigits,0,5.94996e+06,3897.84
python,bench_pyaes,0,6.51655e+06,3971.95
python,bench_pyaes,0,6.51489e+06,3962.78
python,bench_pyaes,0,6.51581e+06,3931.55
python,bench_pyaes,0,6.53603e+06,3940.72
python,bench_pyaes,0,6.50396e+06,3971.98
python,bench_pyaes,0,6.51702e+06,3921.26
python,bench_pyaes,0,6.50928e+06,3957.3
python,bench_pyaes,0,6.52137e+06,3930.32
python,bench_pyaes,0,6.50844e+06,3948.96
python,bench_pyaes,0,6.51212e+06,3975.68
python,bench_pyflate,0,1.98533e+06,5090.89
python,bench_pyflate,0,1.98826e+06,5130.44
python,bench_pyflate,0,1.99841e+06,5122.72
python,bench_pyflate,0,1.98402e+06,5372.22
python,bench_pyflate,0,2.00166e+06,5146.93
python,bench_pyflate,0,1.99671e+06,5206.98
python,bench_pyflate,0,1.98983e+06,5454.41
python,bench_pyflate,0,1.99659e+06,5183.38
python,bench_pyflate,0,1.98594e+06,5332.3
python,bench_pyflate,0,1.98121e+06,5187.11
python,bench_raytrace,0,3.02653e+06,4109.96
python,bench_raytrace,0,3.00989e+06,3623.69
python,bench_raytrace,0,3.02744e+06,4109.13
python,bench_raytrace,0,3.00482e+06,3632.79
python,bench_raytrace,0,3.01584e+06,4019.57
python,bench_raytrace,0,3.00257e+06,3707.09
python,bench_raytrace,0,3.01e+06,5826.68
python,bench_raytrace,0,3.01607e+06,4082.98
python,bench_raytrace,0,3.01099e+06,3665.52
python,bench_raytrace,0,3.02658e+06,4233.05
python,bench_richards,0,498007,3643.47
python,bench_richards,0,497190,3507.51
python,bench_richards,0,496099,3607.87
python,bench_richards,0,495783,3528.22
python,bench_richards,0,495303,3550.91
python,bench_richards,0,494436,3500.64
python,bench_richards,0,496128,3693.24
python,bench_richards,0,510439,4014.57
python,bench_richards,0,496418,3709.01
python,bench_richards,0,497528,3535.65
python,bench_scimark,0,2.46747e+06,1999.19
python,bench_scimark,0,2.45273e+06,1602.06
python,bench_scimark,0,2.47073e+06,1975.84
python,bench_scimark,0,2.45251e+06,1629.66
python,bench_scimark,0,2.48017e+06,2077.19
python,bench_scimark,0,2.45493e+06,1498.68
python,bench_scimark,0,2.46975e+06,2175.85
python,bench_scimark,0,2.45373e+06,1571.92
python,bench_scimark,0,2.454e+06,1672.18
python,bench_scimark,0,2.47463e+06,2030.54
python,bench_spectral_norm,0,948966,3555.25
python,bench_spectral_norm,0,949990,3871.17
python,bench_spectral_norm,0,960547,4054.14
python,bench_spectral_norm,0,949975,3592.53
python,bench_spectral_norm,0,948574,3704.65
python,bench_spectral_norm,0,950422,3571.11
python,bench_spectral_norm,0,950547,3568.04
python,bench_spectral_norm,0,964524,4024.82
python,bench_spectral_norm,0,949641,3709.48
python,bench_spectral_norm,0,948034,3622.28
python,bench_telco,0,188553,1519.91
python,bench_telco,0,193286,1490.39
python,bench_telco,0,187814,1439.63
python,bench_telco,0,186833,1481.5
python,bench_telco,0,186616,1468.82
python,bench_telco,0,188809,1489.62
python,bench_telco,0,189906,1500.17
python,bench_telco,0,188945,1452.09
python,bench_telco,0,190658,1442.37
python,bench_telco,0,187020,1520.31
python,bench_unpack_sequence,0,80577.1,3544.61
python,bench_unpack_sequence,0,80705.7,3410.61
python,bench_unpack_sequence,0,79990.3,3432.35
python,bench_unpack_sequence,0,79940.4,3529.86
python,bench_unpack_sequence,0,79970.4,3464.1
python,bench_unpack_sequence,0,80169.8,3474.06
python,bench_unpack_sequence,0,81398,3719.78
python,bench_unpack_sequence,0,86307.7,4418.24
python,bench_unpack_sequence,0,85588.2,3770.82
python,bench_unpack_sequence,0,80335.1,3501.47
python,bench_version,0,3021.62,1514.8
python,bench_version,0,2886.36,1443.35
python,bench_version,0,2843.91,1533.9
python,bench_version,0,2849.05,1498.21
python,bench_version,0,2815.45,1527.27
python,bench_version,0,2860.03,1539.55
python,bench_version,0,2914.75,1590.45
python,bench_version,0,2878.72,1510.84
python,bench_version,0,2861.74,1500.07
python,bench_version,0,2855.71,1403.13
